,V1,V2,V3,V4,V5
1,환경분야 공적개발원조(ODA) 사업평가 지침 마련을 위한 연구 ,조공장,수시연구,2016-06-30,제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 목적 및 방법 제2장 사업평가 운영현황 분석 1. KEITI의 환경개선 마스터플랜 수립 지원사업 평가 현황 가. KEITI의 ODA 사업 현황 나. KEITI의 사업평가 2. 국내 ODA 사후평가 운영 현황 가. 현황 분석 및 목표 설정 나. 사전평가의 연계성 다. 평가기준 및 범위 라. 정보공개 3. 기타 평가 운영현황 및 개선과제 가. 평가대상의 통합과 평가범위 확대 필요 나. 평가 대상사업 선정기준 미비 다. 자체평가 역량 강화 필요 4. 소결 21 제3장 국내외 기관 사업평가 지침 및 매뉴얼 분석 1. 국내 기관별 사업평가 지침 비교 2. 국내외 기관 사업평가 매뉴얼 가. OECD DAC 나. JICA 다. EDCF 라. KOICA 제4장 사업평가지침(안) 및 사업평가해설서 1. 지침 및 해설서 작성 방향 2. 환경분야 국제개발협력 사업평가지침(안) 3. 사업평가 담당자를 위한 해설 참고문헌 Abstract
2,제주 탄소제로섬 추진전략 연구 ,이병국,수시연구,2016-06-24,제1장 서 론 1. 배경 및 목적 2. 연구추진방향 제2장 개념 및 선행사례 1. 개념 2. 선행사례 가. 국내 탄소감축 정책 사례 나. 해외 탄소감축 정책 사례 다. 기후변화 적응 계획 사례 제3장 추진 여건 분석 1. 온실가스 배출 현황(2013) 2. 제주도의 사회·경제적 환경 가. 인구증가 나. 전력사용량 및 설비 다. 자동차 운행대수 라. 관광객 수 마. 폐기물 바. 인프라 구축(스마트그리드) 3. 온실가스 배출전망 4. 온실가스 감축에 유리한 환경여건 가. 개요 나. 신재생에너지발전 보급현황 및 계획 다. 태양광 자원 라. 풍력 자원 5. 기후변화 취약성 평가 가. 건강 분야 나. 산림 분야 다. 물관리 분야 라. 농업 분야 마. 해양/수산 분야 바. 재해 분야 제4장 비전 및 추진전략 1. 비전 및 지표 가. 탄소제로섬 추진 비전 및 목표 나. 탄소제로섬 추진 핵심사업 다. 지표 2. 추진전략 가. 재생에너지로 움직이는 청정에너지 자립섬 나. 세계 전기차 산업의 메카 조성 다. 자연친화형 탄소제로의 글로벌 명품 관광 브랜드로 발전 라. 주민이 하나 되어 전 과정에서 저탄소 생활 실천 마. 기후변화 적응으로 안전한 제주 제5장 정책과제 도출 참고문헌 부 록 부록 Ⅰ. 추진전략별 주요 사업목록 부록 Ⅱ. 흡수원 확대 정책 방향과 추진과제 부록 Ⅲ. 제주 탄소제로섬 조성사업의 경제적 파급효과 Abstract
3,저탄소 기후변화 적응 사회를 위한 사회ㆍ경제 변화 시나리오 개발 ,채여라,수탁연구,2016-05-31,"1. 연구개발과제의 개요 1-1. 연구개발 목적 1-2. 연구개발의 필요성 1-3. 연구개발 범위 2. 국내외 기술개발 현황 2-1. 사회경제 시나리오 개발 현황 2-2. 사회 경제 시나리오 개발에 활용 가능한 통합평가 모형 분석 3. 연구수행내용 및 결과 3-1. 연구개발의 내용(범위) 및 최종목표 3-2. 연구개발 결과 및 토의 3-3. 연구개발 결과 요약 4. 목표달성도 및 관련분야 기여도(환경적 성과 포함) 4-1. 목표달성도 4-2. 관련분야 기여도 5. 연구결과의 활용계획 등 6. 연구과정에서 수집한 해외과학기술정보 7. 연구개발결과의 보안등급 8. NTIS에 등록한 연구시설·장비현황 9. 연구개발과제 수행에 따른 연구실 등의 안전조치 이행실적 10. 연구개발과제의 대표적 연구실적 11. 기타사항 12. 참고문헌 부 록(기타 부록, 지침서, 매뉴얼, 안내서, 핸드북 등)"
4,화학사고의 경제적 손실 추정을 위한 방법론 진단 및 선정 방안 연구 : 인적ㆍ생태적 피해액 추정을 중심으로 ,"서양원,곽소윤",수시연구,2016-04-30,제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 목적 3. 연구 내용 및 범위 제2장 화학사고 현황 분석 및 피해액 추정 항목 제안 1. 화학사고로 인한 인적.생태적 피해 및 피해액 관련 현황 분석 가. 국내외 화학사고 관련 지침과 연구 분석 나. 국내외 화학사고 사례 분석 2. 피해액 추정 항목 제안 가. 피해액 추정 항목 후보군 분류 나. 피해액 추정 항목 제안 제3장 피해액 추정 방법론 검토 및 제안 1. 적용 가능한 피해액 추정 방법론 검토 가. 유형별 특성 및 추정 방법론 검토 나. 선행연구의 결과 검토 2. 피해액 추정 방법론 제안 및 적용 가. 추정 방법론 나. 분석 자료 다. 분석 결과 3. 사례 적용을 통한 피해액 추정 시나리오 제안 제4장 결론 및 제언 1. 연구 요약 2. 피해액 추정기법 연구 방향 및 보완점 제시 참고문헌 부록 부록 Ⅰ. 설문지 부록 Ⅱ. 사고대비물질의 유해성 및 증상
5,나노폐기물의 안전처리를 위한 관리전략 수립 연구 ,조지혜,수시연구,2016-04-30,제1장 서 론 1. 연구의 목적 2. 연구의 배경 및 필요성 3. 연구 목표 및 범위 제2장 나노폐기물의 정의 및 범위 1. 나노물질의 정의 2. 나노폐기물의 정의 3. 전 세계 나노물질 유통 현황 4. 나노폐기물 대상 범위 5. 나노폐기물의 환경위해성 평가에 관한 연구 제3장 해외 나노폐기물 관리 및 규제동향 1. OECD 2. EU 3. 프랑스 가. 개요 나. 등록 대상 물질 다. 나노물질 생애주기에 대한 연구 4. 미국 5. 일본 가. 제정 배경 나. 관리 주체별 대책 제4장 나노폐기물 처리현황 및 문제점 분석 1. 나노폐기물의 주요 배출원 및 노출경로 가. 나노폐기물의 주요 배출원(소각시설로 들어오는 유입원) 나. 나노폐기물의 노출경로 2. 폐기 이후 단계 흐름 파악을 통한 문제점 분석 가. 소각시설로의 유입 및 배출 등 나노물질 흐름 추정 나. 소각재 내 나노물질 분석결과 3. 해외 시설사례와의 비교분석을 통한 나노폐기물의 적정 처리 가능성 분석 가. 나노물질을 함유한 폐기물의 소각시설 개요 나. 입자상 오염물질의 제어기술 현황 다. 입자상 오염물질 처리공정의 나노입자 제거 가능성 검토 제5장 나노폐기물 안전처리를 위한 관리전략 1. 나노폐기물 안전처리를 위한 추진과제 도출 가. 폐기물 처리단계별 나노물질 모니터링 나. 나노폐기물 기초기술 개발 다. 나노폐기물 위해성 평가 2. 현 상황에서의 나노폐기물 안전처리를 위한 관리전략 제안 제6장 종합 및 제언 참고문헌 부록 부록 Ⅰ. 소각재 시료 사진 부록 Ⅱ. 설문조사 결과
6,가뭄 단계에 따른 적응형 가뭄관리정책 연구 : 지역 차원의 비구조적 가뭄대책을 중심으로 ,김호정,수시연구,2016-03-31,제1장 서 론 1. 연구 배경 및 목적 2. 연구 내용 및 방법 제2장 2015년 충남 서북부지역 가뭄대응 사례 1. 2015년 충남 서북부지역 가뭄 원인 2. 가뭄 진행에 따른 충청남도 가뭄대책 3. 중앙 및 지방정부의 가뭄대책 제3장 가뭄 시 대체수자원 활용성 검토 1. 대체수자원 확보의 필요성 2. 해수담수화의 활용성 및 한계 3. 중수도？빗물이용의 활용성 및 한계 4. 하수재이용의 활용성 및 한계 5. 소결 제4장 가뭄 시 수요관리 대책 활용성 검토 1. 수요관리 대책의 중요성 2. 국내 수요관리 정책 3. 해외 수요관리 정책 4. 수요관리를 통한 물절약 효과 5. 소결 제5장 생활용수 부족 위기 대응수단 검토 1. 생활용수 부족 위기 대비능력 2. 생활용수 부족 상황 대응능력
7,국내 능선축 GIS기반 통합관리시스템 개발 ,이수재,수탁연구,2016-03-31,1. 연구개발과제의 개요 1-1. 연구개발 목적 1-2. 연구개발의 필요성 1-3. 연구개발 범위 2. 국내외 기술개발 현황 2-1. 국내 기술개발 현황 2-2. 국내 산지관리 정책 동향 2-3. 국외 산지 인식 및 관리 정책 동향 2-4. 산줄기(능선축) 관련 환경상 쟁점 사례 3. 연구수행 내용 및 결과 3-1. 연구개발의 내용(범위) 및 최종목표 3-2. 연구개발 결과 및 토의 3-3. 연구개발 결과 요약 4. 목표달성도 및 관련분야 기여도 4-1. 목표달성도 4-2. 관련분야 기여도 5. 연구결과의 활용계획 1 5-1. 환경영향평가 시 활용 5-2. 부처간 연계 계획 6. 연구과정에서 수집한 해외과학기술정보 7. 연구개발결과의 보안등급 8. 국가과학기술종합정보시스템(NTIS)에 등록한 연구시설·장비 현황 9. 연구개발과제 수행에 따른 연구실 등의 안전조치 이행실적 10. 연구개발과제의
8,기후변화에 따른 건강영향 평가ㆍ적응 기술 및 정책지원 시스템 개발(I-IV) ,신용승,수탁연구,2016-02-28,"연구개발과제의 개요 1-1. 연구개발 목적 1-2. 연구개발의 필요성 1-3. 연구개발 범위 2. 국내외 기술개발 현황 3. 연구수행내용 및 결과 3-1. 연구개발의 내용(범위) 및 최종목표 가. 연구개발의 최종목표 나. 연도별 목표 및 내용 다. 연도별 연구단계 및 추진체계 3-2. 연구개발 결과 및 토의 가. 건강영향평가를 위한 자료 DB 구축 (1) 기상자료 (2) 건강영향자료 (3) 대기오염자료 (4) 기타자료 (5) 건강영향평가 분석 DB 나. 폭염/한파로 인한 건강영향 평가기술 개발 (1) 폭염/한파의 건강영향에 관한 이론적 고찰 (2) 건강영향평가 방법론 (3) 건강영향평가 결과 (4) 기후변화 시나리오에 따른 건강영향 예측 시범적용 다. 기상재해(태풍/호우)로 인한 건강영향 평가기술 개발 (1) 기상재해의 건강영향에 관한 이론적 고찰 (2) 건강영향평가 방법론 (3) 건강영향평가 결과 라. 오존으로 인한 건강영향 평가기술 개발 (1) 오존의 건강영향에 관한 이론적 고찰 (2) 건강영향평가 방법론 (3) 건강영향평가의 분석 자료 (3) 건강영향평가 결과 (4) 기후변화 시나리오에 따른 건강영향 예측 시범적용 마. 자외선으로 인한 건강영향 평가기술 개발 (1) 자외선의 건강영향에 관한 이론적 고찰 (2) 건강영향평가 방법론 (3) 건강영향평가 결과 바. 기후변화-건강영향 적응·저감 기술 개발 (1) 기후변화의 건강영향 적응정책 및 기술자료 수집 개요 (2) 국외의 적응정책 및 기술자료 검토 (3) 국내의 적응정책 및 기술자료 검토 (4) 요약 및 결론 사. 기후변화-건강영향 정책지원시스템(C-CHAMP) 개발 (1) 정책지원시스템 요구분석 (2) 정책지원시스템 구축방안 수립 (3) 정책지원시스템 기능 설계 (4) 정책지원시스템 DB 설계 및 구축 (5) 정책지원시스템 세부기능 개발 (6) 정책지원시스템 시범운영 및 개선 아. 기후변화의 건강영향 교육·홍보 (1) 기후변화 건강영향 정책지원시스템 개발 교육·홍보 (2) 기후변화 건강영향 적응·저감 기술 관련 교육·홍보 및 정책자료 시범제작 3-3. 연구개발 결과 요약 가. 연구내용 요약 나. 결론 다. 연구성과 4. 목표달성도 및 관련분야 기여도(환경적 성과 포함) 4-1. 목표달성도 4-2. 관련분야 기여도 5. 연구결과의 활용계획 등 6. 연구과정에서 수집한 해외과학기술정보 7. 연구개발결과의 보안등급 8. NTIS에 등록한 연구시설·장비현황 9. 연구개발과제 수행에 따른 연구실 등의 안전조치 이행실적 10. 연구개발과제의 대표적 연구실적 11. 기타사항 12. 참고문헌 부 록(기타 부록, 지침서, 매뉴얼, 안내서, 핸드북 등)< 부록1> 하절기 폭염으로 인한 사망영향(6대 광역시)< 부록2> 하절기 폭염으로 인한 상병영향(6대 광역시)< 부록3> 동절기 한파로 인한 사망영향(6대 광역시)< 부록4> 동절기 한파로 인한 상병영향(6대 광역시)< 부록5> 기후변화 건강영향 국제 심포지움 회의록 <부록6> 기후변화 건강영향 정책지원 시스템(C-CHAMP) 사용자 매뉴얼"
9,Post-2020 신기후체계 협상 적응의제 대응방안 연구 ,이승준,수탁연구,2015-12-31,"제1장 서론 1. 연구의 배경 및 필요성 2. 연구방향 3. 연구수행 방법 제2장 제네바 텍스트의 분석 및 중재안 1. 제네바 텍스트의 개요 2. 제네바 텍스트의 분석 가. 서문 나. 적응의 장기 및 글로벌 측면 다. 의무/기여/행동 라. 모니터링 및 평가 마. 정보, 지식 및 교훈의 공유 바. 제도적 장치 사. 손실과 피해 3. 제네바 텍스트의 중재안 제3장 공동의장의 제안문서 분석 및 중재안 1. 공동의장의 제1차 제안문서 가. 공동의장의 제1차 제안문서 분석 1) 합의문 초안(Part One: Draft Agreement) 2) 결정문 초안(Part Two: Draft Decision 1/CP.21) 나. 제1차 제안문서에 대한 중재안 2. 공동의장의 제2차 제안문서 가. 공동의장의 제2차 제안문서 분석 나. 공동의장의 제2차 제안문서에 대한 중재안 제4장 파리 당사국총회 협상 중재안 1. 공동의장의 제3차 제안문서 분석 가. 합의문 분석 나. 결정문 분석 2. 공동의장의 제3차 제안문서에 대한 중재안 제5장 향후 대응방향 1. 파리 합의문의 개요 2. 우리나라의 대응방향 가. 단기 대응방향 나. 장기 대응방향 3. 향후 과제 제6장 결론 참고문헌 축약어"
10,사물인터넷(IoT)을 활용한 스마트 물환경관리 방안 및 정책기반 마련 연구 ,한혜진,기본연구,2016-10-31,"제1장 서 론 1. 연구의 배경 및 필요성 가. 사물인터넷: 혁명적 핵심기술로서 부상 나. 물환경관리 부문에서 사물인터넷의 낮은 인식 다. 연구의 필요성 및 방향성 2. 연구 범위 및 주요 연구내용 제2장 사물인터넷 개념, 기능 및 물환경관리 도입 필요성 1. 사물인터넷(IoT)이란? 가. 사물인터넷 정의 및 발전 나. 사물인터넷의 주요 구성 요소 다. 사물인터넷 유사 개념 2. 사물인터넷을 왜 사용해야 하는가? 가. 사물인터넷 기능 및 기대효과: 범 부문 나. 물환경관리의 난제 다. 물환경 관리 내 사물인터넷 우선도입 부문과 기대효과 제3장 유형별 국내외 사물인터넷을 활용한 물환경관리 사례 1. 행위 추적 사례 2. 향상된 상황인식 사례 3. 최적·원격 운영관리 사례 4. 최적 자원관리 사례 5. 복합 자동 시스템 사례 제4장 사물인터넷을 활용한 스마트 물환경관리 방안 1. 부족한 정보에 의해 제도 성과가 부족한 경우 가. 스마트 친수환경 관리 방안 나. 스마트 CSO 관리 방안 다. 스마트 비점오염저감시설 유지관리 방안 라. 사물인터넷을 활용한 이동성이 큰 오염원 관리 방안 2. 정보가 존재하지만 분석하지 못하여 제도의 성과가 부족한 경우 가. 실시간 수질정보 관리현황 나. 문제점 및 개선방안 제5장 국내 사물인터넷을 활용한 스마트 물환경관리 도입 여건 분석 및 정책 개선안 1. 정치·사회적 문제점 및 개선안 2. 법·제도적 문제점 및 개선안 3. 기술적 문제점 및 개선안 제6장 결론 및 제언 참고문헌 Abstract"
