id,parsedContent
a1, 환경 개선 마스터플랜 지원 국내 사후 설정 사전 연계 기준 정보 공개 기타 개선 통합 확대 선정 기준 미비 자체 역량 강화 소결국내외 기관 지침 매뉴얼 국내 기관 지침 비교 국내외 기관 매뉴얼 지침 안 설서 지침 해설 환경 국제 협력 지침 안 담당자 해설 
a2, 추진 국내 탄소 감축 정책 해외 탄소 감축 정책 기후 변화 적응 추진 여건 온실가스 배출 제주도 경제 환경 인구 증가 전력 사용량 설비 자동차 운행 대수 관광객 수 말다 폐기물 바 인프라 구축 스마트 그리드 온실가스 배출 전망 온실가스 감축 유리 환경 여건 신재 에너지 발전 보급 태양광 자원 풍력 자원 기후 변화 취약 건강 산림 물 농업 말다 해양 수산 바 재해 비전 추진 전략 비전 지표 탄소 제로섬 추진 비전 탄소 제로섬 추진 핵심 지표 추진 전략 재생 에너지 움직이다 청정에너지 자립 섬 세계 전기 차 메카 조성 자연 친화 탄소 제로 글로벌 명품 관광 브랜드 발전 주민 되다 과정 저탄소 생활 실천 말다 기후 변화 적응 안전 제주정책 도출 추진 전략 목록 수원 확대 정책 추진 제주 탄소 제로섬 조성 경제 파급 효과
a3, 국내외 기술 경제 시나리오 경제 시나리오 활용 가능 통합 모형 토의 달성 기여 환경 성과 포함 달성 기여 활용 등 과정 수집 해외 과학 기술 정보 보안 등급 등록 시설 장비 따르다 실 등 안전 조치 이행 실적 대표 실 기타 기타 지침서 매뉴얼 안내서 핸드북 등
a4, 화학 사고 피해액 추정 제안 화학 사고 인적 생태 피해 피해액 국내외 화학 사고 지침 국내외 화학 사고 피해액 추정 제안 피해액 추정 후보 군 분류 피해액 추정 제안피해액 추정 검토 제안 적용 가능 피해액 추정 검토 유형 특성 추정 검토 검토 피해액 추정 제안 적용 추정 적용 통 피해액 추정 시나리오 제안 제언 피해액 추정 기법 보완 점 제시 설문지 사고 물질 유해 증상
a5, 나노 폐기물 나노 물질 나노 폐기물 세계 나노 물질 유통 나노 폐기물 나노 폐기물 환경 성 관 해외 나노 폐기물 규제 동향 프랑스 등록 물질 나노 물질 생애 주기 대 미국 일본 제정 주체 대책나노 폐기물 처리 문제점 나노 폐기물 배 출원 노출 경로 나노 폐기물 배 출원 소각 시설 들어오다 유입 원 나노 폐기물 노출 경로 폐기 이후 흐름 파악 통 문제점 소각 시설 유입 배출 등 나노 물질 흐름 추정 소각재 내 나노 물질 해외 시설 비교 통 나노 폐기물 적정 처리 가능 나노 물질 함유 폐기물 소각 시설 입자 오염 물질 제어 기술 입자 오염 물질 처리 공정 나노 입자 제거 가능 검토나노 폐기물 안전 처리 전략 나노 폐기물 안전 처리 추진 도출 폐기물 처리 나노 물질 모니터 나노 폐기물 기초 기술 나노 폐기물 성 상황 나노 폐기물 안전 처리 전략 제안종합 제언 소각재 시료 사진 설문 
a6, 2015년 충남 서북 부 지역 가뭄 대응 2015년 충남 서북 부 지역 가뭄 원인 가뭄 진행 따르다 충청남도 가뭄 대책 중앙 지방 정부 가뭄 대책가뭄 시 체수 자원 활용 검토 수자원 확보 해수 담수화 활용 한계 중수도 빗물 활용 한계 수재 활용 한계 소결가뭄 시 수요 대책 활용 검토 수요 대책 중요 국내 수요 정책 해외 수요 정책 수요 통 물 절약 효과 소결생활용수 부족 위기 대응 수단 검토 생활용수 부족 위기 능력 생활용수 부족 상황 대응 능력
a7, 국내외 기술 국내 기술 국내 산지 정책 동향 국외 산지 인식 정책 동향 산줄기 능 선축 환경 쟁점 토의 달성 기여 달성 기여 활용 환경영향 시 활용 부처 간 연계 과정 수집 해외 과학 기술 정보 보안 등급 국가 과학 기술 종합 정보 시스템 등록 시설 장비 따르다 실 등 안전 조치 이행 실적 제의
a8, 국내외 기술 추진 토의 건강 영향 구축 기상 건강 영향 대기 오염 기타 건강 영향 폭염 한파 건강 영향 기술 폭염 한파 건강 영향 관 건강 영향 건강 영향 기후 변화 시나리오 따르다 건강 영향 예측 시범 적용 기상 재해 태풍 호우 건강 영향 기술 기상 재해 건강 영향 관 건강 영향 건강 영향 오존 건강 영향 기술 오존 건강 영향 관 건강 영향 건강 영향 건강 영향 기후 변화 시나리오 따르다 건강 영향 예측 시범 적용 말다 자외선 건강 영향 기술 자외선 건강 영향 관 건강 영향 건강 영향 바 기후 변화 건강 영향 적응 저감 기술 기후 변화 건강 영향 적응 정책 기술 수집 국외 적응 정책 기술 검토 국내 적응 정책 기술 검토 사다 기후 변화 건강 영향 정책 지원 시스템 정책 지원 시스템 요구 정책 지원 시스템 구축 방안 정책 지원 시스템 기능 설계 정책 지원 시스템 설계 구축 정책 지원 시스템 세부 기능 정책 지원 시스템 시범 개선 기후 변화 건강 영향 교육 홍보 기후 변화 건강 영향 정책 지원 시스템 교육 홍보 기후 변화 건강 영향 적응 저감 기술 교육 홍보 정책 시범 제작 결 달성 기여 환경 성과 포함 달성 기여 활용 등 과정 수집 해외 과학 기술 정보 보안 등급 등록 시설 장비 따르다 실 등 안전 조치 이행 실적 대표 실 기타 기타 지침서 매뉴얼 안내서 핸드북 등 하절기 폭염 사망 영향 6대 광역시 하절기 폭염 상병 영향 6대 광역시 동절기 한파 사망 영향 6대 광역시 동절기 한파 상병 영향 6대 광역시 기후 변화 건강 영향 국제 심포 지우다 회의록 기후 변화 건강 영향 정책 지원 시스템 사용자 매뉴얼
a9, 제네바 텍스트 중재 제네바 텍스트 제네바 텍스트 서문 적응 장기 글로벌 측면 의무 기여 행동 모니터링 말다 정보 지식 교훈 공유 바 제도 장치 사다 손실 피해 제네바 텍스트 중재공동 의장 제안 문서 중재 공동 의장 1차 제안 문서 공동 의장 1차 제안 문서 합의 문 초안 결정 문 초안 1차 제안 문서 대 중재 공동 의장 2차 제안 문서 공동 의장 2차 제안 문서 공동 의장 2차 제안 문서 대 중재 4장 파리 당사국 총회 협상 중재 공동 의장 3차 제안 문서 합의 문 결정 문 공동 의장 3차 제안 문서 대 중재향후 대응 파리 합의 문 우리 나라 대응 단기 대응 장기 대응 향후 축 약어
a10, 사물 인터넷 혁명 핵심 기술 부상 물 환경 사물 인터넷 낮다 인식 사물 인터넷 기능 물 환경 도입 사물 인터넷 사물 인터넷 발전 사물 인터넷 요소 사물 인터넷 유사 사물 인터넷 사용 사물 인터넷 기능 기대 효과 물 환경 난제 물 환경 내 사물 인터넷 도입 기대 효과유형 국내외 사물 인터넷 활용 물 환경 행위 추적 향상 되다 상황 인식 최적 원격 최적 자원 복합 자동 시스템 사물 인터넷 활용 스마트 물 환경 방안 부족 정보 의 제도 성과 부족 경우 스마트 친수 환경 방 스마트 방 스마트 유지 방 사물 인터넷 활용 이동 크다 오염원 방안 정보 존재 제도 성과 부족 경우 실시간 수질 정보 문제점 개선 방국내 사물 인터넷 활용 스마트 물 환경 도입 여건 정책 개선 정치 문제점 개선 법 제도 문제점 개선 기술 문제점 개선 제언 
